text,sentiment
"Considering these things are under $25, you really can't go wrong.  They sound pretty great.  Yes, I've heard better, but only at 3 times the price.  Good highs.  Tight lows.  Stylish.  Comfortable.  I'd definitely recommend, especially at this price!",positive
Wish there were 'all large' options - I threw the little ones out.,negative
Does not work with iPhone as advertised. This ad said &#34;for iPhone&#34; when I bought it. Now it says for Android. Either way it doesn't work with my iPhone and I have asked for a refund.,negative
Not sure why but it would not work on 2 different TV's.,negative
Unfortunately this cable set didn't work for my television.,positive
"Bought a HyperDrive for Macbook Air 2015 and a TarDisk for MBPr 2015. The Hyperdrive's finishing and fitting is much more better and aligned compared to TarDisk. Overall it's quite pricey for an adapter, but still a better option compared to other competitors in terms of quality.<br /><br />1st pic: HyperDrive<br />2nd pic: TarDisk",positive
"NOTE THE BEST FITTING OR SOUND, I  WOULD NOT PURCHASE AGAIN.",positive
it will not turn on so it won't connect. charged it over night not a light comes on . will return it o stars from me.,positive
"Horrible!! Do not work with iPod....so disappointed. Lowest sound quality possible, changes the tune of the song or won't play at all.",negative
This is a great deal. I bought this lamp for my VPL-VW90ES projector and it works and fit perfectly.,positive
This alarm clock has great speakers. The only drawback is the light does not stay on during the night so you can't see the time in the dark.,positive
"Aesthetics: 5 out of 5 stars - Looks great, and feels great in the hand. It is very smooth, sleek, organic-looking, and ergonomic.<br />Material: 4/5 stars - High-quality plastic. Most of the remote is made of shiny/glossy plastic, while the button panel/area is a matte plastic.<br />Craftsmanship: 5/5 - Built well, no creaks with the creases and button areas while handling/pressing the buttons. The buttons have a nice firm &#34;click&#34; and tactile response.<br />Size/Weight: 5/5 - It is right at 6 inches long, and weighs 4.25 ounces with the 2 AA batteries installed.<br />Functionality: 3 out of 5 stars - While the remote itself is high-quality, beautiful, lightweight, and easy to function, the functionality is lacking. First, it takes a while to get use to the &#34;air mouse/Wii controller&#34; functionality and to wave it around and properly place it over the areas where you want to click. Second, when you perform a button press, the controller naturally is lowered because of your button-pressing movement, so you have to be very still and precise when you press the button. Finally, there is no dedicated &#34;OK/Enter&#34; button - rather, you press down on the scroll wheel like on some mouses. But because you have to click down on a scroll wheel, it is very easy to slip off the scroll wheel and miss the press, or have the pointer move out of place and miss the area where you are supposed to click on.<br />The other negative is - although there are few buttons on the controller so you don't get caught in &#34;button-hunting&#34; - there are not many dedicated buttons to function what you want. So to bring up the settings menu, you have to click on the &#34;home&#34; button, then move the point or directional button to the settings on-screen button, then lick the scroll wheel. There is also no button to quickly change the video/visual modes, so if you're watching a news program, and switch over to a movie, you can't switch from standard to cinema mode easily, and have to go through that whole procedure to get into the settings menu again. There is also no dedicated Netflix button, no channel number buttons, and so on and so on.<br /><br />So in the end, although this is a good remote control, there is still a lot of room for improvement. I recommend the 2015 edition - model number AN-MR600 - but on the LG website it lists that it can work only with certain 2015 TVs, and are not backward-compatible. Let's hope LG comes up with a firmware update so you can use the 600 version with older TVs.d have to go through that whole procedure to get into the settings menu again. There is also no dedicated Netflix button, no channel number buttons, and so on and so on.<br /><br />So in the end, although this is a good remote control, there is still a lot of room for improvement. I recommend the 2015 edition - model number AN-MR600 - but on the LG website it lists that it can work only with certain 2015 TVs, and are not backward-compatible. Let's hope LG comes up with a firmware update so you can use the 600 version with older TVs.",positive
"weow. what a beautiful blue cord.<br /><br />thats pretty much it. 40 dollars for this? really?<br />lets start with sound quality - first off, the sound quality isnt even good. theyre okay at best. in fact, audiotechnicas 14 dollar earphones are WAY better than these earphones.<br /><br />but what pisses me off the most? how easy it is for this thing to break. ive had it for 1 month. 1 month for 40 dollars. honestly ive never been this disappointed in my whole amazon career",positive
Awful! It didn't work after a while so we sent it back and they sent us a new one. After a few weeks the second was not working either!,positive
Decent quality sound but lacks bass.<br /><br />The mic doesn't pic up your voice well so people on the other line have difficulty hearing.<br /><br />I like the design and use it with Bose stay ear earbuds.<br /><br />Might be better when the next updated version comes out.,negative
This listing is for a Roland cord. The cord that you will receive is a knockoff Hosa brand cord in a Roland branded baggie This product is deceptively mislisted.,negative
This speaker is awesome! The sound is great and the size is perfect to carry everywhere.,positive
"These earphones worked well for about 2-3 months. The volume/play controller located close to the left ear bud stopped working after 3 months of use. Most likely, it was due to water ingress or a wiring issue but I'm not entirely sure. The volume/play buttons were not totally useful -- I would have liked forward/backward buttons as well.",positive
"On the unit i received, the shockmount  is angled slightly upward, (not level with the shoe mount).,<br />only way to remedy, is to somehow shave, (or saw) off part of the top front portion, of the shoe itself.<br />Started out using it as a boom mount, but later on, found out, the one that shipped, is not good for &#34;on-camera&#34; use.",positive
This adapter does what its supposed to but for a very short period of time. It literally fell apart-- like into pieces-- because the housing was made of cheap plastic. I purchased it to charge my galaxy tab2 and I got a few charges out of it so I wasn't really upset at all. But I won't purchase another.,positive
The cable only worked if I had it plugged in to an outlet not when plugged into tv,negative
bulb working ok easy to install arrived ahead of schedule,positive
"I purchased this item hoping to solve the single HDMI port issue on my older Panasonic TV. I already was using the HDMI port for watching video, and wanted to use this device to enable me to use the AV ports on my TV (this TV didn't have more than 1 HDMI port). Unfortunately, it just showed blurry picture (audio cleared up fine) and I just couldn't figure out how to correct this. If there's any tips available on how to fix this, would definitely love to know. I am unable to return this item too as Amazon indicates this item cannot be returned. So unsure how else to use this now.",positive
"The product it self is Good. It should worth 4 stars. In the daytime it is very sharp and clear. In the evening especially on the freeway, it cannot get the clear view of the license number of the cars next to mine. But the problem is the In-car charging cable. It died 2 month after use.  8/13/2015 Update: Actually is the camera it self dies. The attachment photo show that the usb port is broken for no reason.",negative
Great sound from a small device! Works well and very simple to connect!,positive
"After 5 months the internal memory corrupted, No repair possible.  Nothing for it but to toss it in the trashl",negative
Overall good quality just a little thin on the area where the female end goes into the male portion. Very Thin but as long as you are careful they work just fine. Hope this helps.,positive
"I'm a former recording engineer so you can take my word that the inexpensive Sherwood Model 4109, 4105 and this model are exceptionally good sounding amplifier/Tuners.  I'm not that into surround sound and I look for good, clean low noise amps.  These three amps well worth the money.  I would highly recommend them to any of my friends.",positive
"Received on time, not as good as I expected, but adequate",positive
"Though not the original model, the remote works perfectly on my TV.",positive
"I don't have a lot of desk real estate and I wanted something that pumps out a punchy deep sound when I'm playing really action packed games, watching movies and listening to my music (mostly EDM). The Leviathan was a fantastic option. I am a member of the cult of Razer and I trust their products and this is why. It just works beautifully.<br /><br />The soundbar gives you a host of options for connection. You can use NFC to pair your phone through bluetooth just by tapping your phone on it. The SDPIF connection in the back lets you use 5.1 fiber optic sound from your PC, Mac or gaming console and really does resonate a clear wide sound field. It's not true 5.1 so it won't beat a real surround sound system, but when racing in Forza Horizon 2 I could hear cars coming up behind me with clarity. There is also a traditional headphone style input which is very nice for quick on the fly plug ins.<br /><br />The only gripes I have are that the connector for the subwoofer is a little goofy. It doesn't seem as strong of a connection as it could be... maybe a bit flimsy. But these things don't move so once you get it in place it'll be fine. The other little problem I have are the attachable feet. Two sets come with the bar to let you raise and angle the bar how you want it. But try removing them and the glue holding the feet to the plug portion pops right off. I had to re-glue them in place.<br /><br />The last option is that there's no pass through. I would have really liked if I could have run my sound into the sound bar and then to headphones. Right now I have a SPDIF splitter for my fiber optic signal. One goes to the soundbar the other goes to my Astro Mix Amp for my headphones. It's not a very elegant solution and I hate the extra cables. Maybe the Leviathan Pro can include something like that, and maybe it'll even have some of Razer's Chroma lighting accents which would be nice.",negative
"very poor quality.  many had shorts where if moved the continuity of the jumper would be lost.  additionally, the boots on the end will slide down off crimp as you are trying to push the pin in to a socket.",negative
"Am I the only one who is having this issue? It is so annoying that when I am watching a movie, the receiver turns off by itself<br /><br />I tried everything to fix this issue but it did not work, turning the volume down is not a option since my family is hard of hearing and needs it at max volume to hear<br /><br />Help please?",positive
Got them sadly i got these by mistake but i will use eventually,negative
Very good funcionality... it fulfilled my expectations,positive
"Didn't prove terribly effective with old Dynamic and Ribbon mics at all. So little difference, hard to tell whether either/both switches do anything at all.  Thought I could avoid repairing or replacing a great preamp with a tendency to pick up hum on low-output microphones; guess not.  Would not recommend.",positive
"i. love. this. stereo. it works great with my galaxy sII, and it has great sound quality. thank you so much! arrived quickly and was well packaged, as well.",positive
"I used this charger when traveling abroad for two weeks.  It charged everything well, but the fan in the charger was very noisy.  Every piece of electronic attached to the charger was also noticeably staticky - you could feel your fingers electrostatically sticking to the tablet/phone/etc.  I'm not sure this is a good thing.",positive
"The L/R audio can output the sound, but the headphone jack can not.",negative
its ok....not good on high frequent music but.....its ok,positive
The plugs met my expectations. They are not flimsy or cheaply built. I have used them for several months so far without fail,negative
