review_number,review_text
review1,"I purchased this unit to prepare for the hurricane season in Florida. Although I haven’t had a chance to use it during an outage, I have been using it extensively over the past week to test its reliability in keeping the household functioning smoothly. Here’s a detailed account of how I utilized this powerhouse: I set up the Explorer 1000 v2 in a central location within my home for easy access. The first priority was to connect the refrigerator to prevent food spoilage. The 1500W AC output was more than sufficient to keep it running without any hiccups. I also connected a portable air conditioning unit to test it, as outages often happen during particularly hot spells. The power station handled both appliances simultaneously, and I am satisfied with the results. With the power station’s multiple charging ports, I was able to keep all our essential communication devices powered. I used the 100W PD USB-C ports to quickly charge smartphones and a tablet. The fast charging ensured our phones were ready to use much quicker than standard chargers, keeping us connected to family and emergency services. Throughout the testing, I actively used the Jackery app to monitor the power station’s battery level and manage its output. The app allowed me to switch between charging modes depending on our power needs, which may be helpful in prolonging battery life over several hours of an outage. At night, utilizing the quiet mode was beneficial. It significantly reduced the noise level, allowing my family and me to sleep without disturbance while still powering our fridge and a few fans throughout the night. I also have a gas generator at home, and using the Explorer 1000 v2 is a totally different experience. The absence of generator noise makes you forget the fact that you are using backup power. As for the charging speed, Jackery claims a one-hour recharge feature for the Explorer 1000 v2 when the emergency charging mode is activated in the app. While the one-hour recharge is convenient and charges quickly as advertised, it reverts to normal charging mode after each quick charge. So, I just stick with the normal charging mode most of the time. It takes about 1 hour and 40 minutes to recharge the 1000 v2 from 0 to 100%, which is good enough for me. Overall, the Explorer 1000 v2 can be trusted as a backup power source during outages. It’s a versatile, powerful tool that will keep our household safe and comfortable."
review2,"To start with, I love my Jackery Explorer 300 and took a chance on the Explorer 1000 and not disappointed. This is copy of my review for DJI Portable Power Station 1000 Vs the Jackery Explorer 1000. I hope to help others when comparing these two popular power stations that are both known for reliability. In the end for a quick read, the Jackery Explorer out performed the DJI Portable Power Station by quite a bit. Great job Jackery! Here is my slightly edited review: I purchased the DJI Power 1,000 Portable Power Station for emegencies as well as camping and such. I do own a Jackery Explorer 300 as well as a Jackery Exporer 1000. Today I tested the Jackery Explorer 1000 (1500W rating) as well as the DJI Power 1000 (2200W rating). I've had the Jackery 1000 for maybe a month and the DJI for about 1 week and both were new up to today and charged to 100% for the first time for this test. I connected each to a 1000W heater (Presto Heat Dish) which is a reflective type heater with no fan/blower, just a heating element reflected off what looks like a satellite dish. I put the heater at highest setting and it was rated at about 1045-1047 watt output according to both battery power stations. I tried to run them both for ONE hour and see what percentage of the battery power stations was left after the hour. The Jackery Exporer 1000 had 40% battery life after 1 one hour which was good, so I first thought. After trying the DJI 1000, the Jackery was apparently very good. The Jackery never really got too warm and was super quiet. The DJI Power 1000 could not make it to one hour. I shut it down after 45 minutes as it only had 7% battery life left. I never run them to zero and 7% was much lower than I like to run them to, but wanted to milk this until at least 45 minutes, which I did. The fan area near the power switch area of the DJI was pretty warm and the other side fan area was cool, near the outlets. The DJI also had noticeable fan noise, but it was just noticeable and not loud. I also noticed after getting the DJI Power 1000 that it didn't have the cigarette lighter receptacle (12V DC) like the Jackery did, which I overlooked. The Jackery is about 2/3 the weight of the DJI and has a swing handle across the top like most smaller power stations do. The DJI had two fixed grips, one on each side which seem more sturdy, but not as convenient to carry around. I don't usually rate and review two named items in a review but both are great names with reliabilty and known quality. I'm just sad to say that the DJI did not live up to my expectations and relly disappointed. Hopefully they will get the battery management taken care of in future models. With the DJI rated another 700 watts than the Jackery, I guess I expected more. If I were to put a 2200 watt device on the DJI Power 1000, I'm not sure it would last a half hour. I would recommend the Jackery Exporer 1000 very easily after my test. jackery is quiet, reliable and the energy used is very well managed within the system."
review3,"This is an amazingly useful gadget! Ours is charged and awaiting the next power outage, but meanwhile it replaces my 2000-watt generator for most jobs. For example: it runs my electric chainsaw just fine. It’s not as heavy as my gas generator, it’s quiet, and totally fuss and drama free!"
review4,"Good portable power for many uses. Quick charging, solar panel option. We found that fully charged, it would power two CPAP machines overnight for two nights. Would probably keep your refrigerator running for 18 hours or so, depending on the size of the fridge and whether or not you're opening it much. We also bought the larger size when Amazon had them on sale at the Black Friday event. Highly recommended and Jackery has a great reputation for producing quality portable power devices."
review5,"This was on sale at an amazing price for Black Friday, so I blew my meager budget and bought it. The package arrived yesterday and I opened the box and hooked it up to house power to get it charged up before my Christmas camping trip. As with my 3 other smaller Jackeries, the quality workmanship is evident. The weight is definitely heavy, but not too heavy for me to pick it up and carry it a short distance. Unlike my older Jackeries, the handle on this model folds up to carry and down flat to store. It arrived with 28% charge, so I plugged it in as soon as I had it unboxed. It charged fairly quickly and the display screen tells me the wattage of the charge and it also shows the percent charge. It came with a heavy duty ""Jackery Orange"" AC power cable. I was sad to see that it did NOT come with a cigarette lighter charge cable. And to increase my sadness, I also discovered that it did not come with the solar charge cable; so I had to rush to Amazon and find those items. I had to order two ""7909 to 8020 plugs"" to hook up to my solar charge cables that I already had for my 290w Jackery batteries. Twenty bucks for those; one arriving today the other arriving tomorrow. And I ordered a cigarette lighter charge cable for another 18 dollars that should arrive today. None of those items were Jackery products. I wish Jackery would have included all these accessories with the battery. I'm hoping all the items arrive here in time for my trip. Anyway, I'm a Jackery fan and this is a big, powerful, well made, quality battery. Even without the needed accessories."
review6,"I am an Electronics Engineer and purchased this generator for backup power. This generator is fantastic with a great design ,it is small and not to heavy, has a nice front panel to see charge level, load and input power. I am also a Amateur Radio operator and have used this to power my station in the event of a power outage. My station draws 100- 800 watts depending on transmitted output and it ran this for over 5 hours with 15% charge left. When first received it had a 30% charge and plugged into AC and it charged up in a couple of hours to 100%. I ran an 1800 watt heater and it held the load without any trouble. Of course it would not last to long due to the over rating of the load . I used the 200 watt solar panel to charge the unit and with two partly cloudy days it took about 4- 5 hours each day to be fully charged. with full sun this would be faster. The solar panel works well but you have to move it periodically to maximize solar input and it has a small sight glass to be sure you are aligned with the sun angle. I am very pleased with this generator and will most likely get another so that I will have 400 watts of solar going into the generator (it has two 24volt charge inputs). I did not try charging from my car 12 volt dc . I need to get a cable, though dc chargers are often limited to 10 Amp charge current so the charging could take a while. Overall great unit with versatile charging options( reason I purchased) Have a few of these around and you will have a portable decentralized, quiet power source."
review7,"I bought this portable generator in case of a blackout, so far so good... it is a portable Generator that runs off of solar power. I haven't had a chance to really see how it works. But I have noticed it is a heavy duty, long lasting quality item, that would automatically go to work when pluged in."
review8,"Best purchase I’ve ever made. I’m staying off grid right now in rural New Mexico and this thing is a lifesaver. I purchased a third-party solar panel to go with it because the one made by Jackery is triple the price. So far, after four months, it’s charged just fine with the different panel. My only complaint about this generator is that you have to download an app to use some of its functions. Doesn’t that defeat the purpose of being off-grid where there is likely no cell signal? I don’t know who made that decision but it wasn’t a logical one. Other than that, this thing works like a charm and lasts for nearly a week, as long as I’m using it for things that don’t involve tons of heat."
review9,"I love this thing. It has great flexibility and power. So far I only have 2 small gripes. First, the plugs that jackery uses for solar panels is kind of unique. The solar panels I bought were ""standard"", highly rated, and came with 10 different plug types. None of those plugs worked with the jackery and apparently this is pretty common, having to buy another adapter plug just for jackery devices. So a more common plug standard would be nice. The second gripe is that the AC input power requirements are strict enough that I couldn't charge the jackery with my car using a 300w inverter. The jackery would come to life for about 2 seconds trying to charge, then would stop charging. It would cycle on/off continuously trying to charge from the 300w inverter. It would be nice if the jackery charging circuitry could handle charging from a ""weak"" AC source since available AC power isn't always clean. That's why we have the jackery in the first place! So not being able to charge even slowly from a slightly weak AC source is a big drawback. Other than these gripes however, I am really liking the jackery. Recommended!"
review10,"I love how this thing is set up so intuitively. I feel that if I was away from home and the power went out my `non-technical' wife would know how to connect it to the solar panel, aim it at the sun, monitor the input and output wattage on its simple center gauge, and run what appliances/devices she needs. We bought it as a peace of mind. My attention to even considering a solar generator (an overly fancy name for a battery pack) came up while seeing the brand (begins with a ""P"") that heavily runs TV commercials. But, theirs is several hundred dollars more than this Jackery model, and their solar panel generates 100 watts with this one generating 200 watts; and, theirs boasts 1200 watts of functional power wattage, and this Jackery has 1500 watts. The Jackery is also 2 lbs lighter (24 vs. theirs at 26 lbs.). It seems that Jackery incorporated several updates and improvements into this second generation model based on the YouTube reviews I watched. Overall, in my opinion this is a better than average..... solar battery pack. and, I hope to God we never need it, though if my wife and I ever start camping again, now that our kids are on their own, this thing will be central to our packed items."
